"dateUTC","dateLocal","parameter","location","locationURL","value","unit","city","country","latitude","longitude"
2015-07-03 18:20:00,2015-07-03 23:50:00,"pm25","Anand Vihar","Anand+Vihar",50,"µg/m³","Delhi","IN",NA,NA
2015-07-03 18:40:00,2015-07-04 00:10:00,"pm25","Anand Vihar","Anand+Vihar",48,"µg/m³","Delhi","IN",NA,NA
2015-07-03 19:10:00,2015-07-04 00:40:00,"pm25","Anand Vihar","Anand+Vihar",48,"µg/m³","Delhi","IN",NA,NA
2015-07-03 19:40:00,2015-07-04 01:10:00,"pm25","Anand Vihar","Anand+Vihar",17,"µg/m³","Delhi","IN",NA,NA
2015-07-03 20:20:00,2015-07-04 01:50:00,"pm25","Anand Vihar","Anand+Vihar",17,"µg/m³","Delhi","IN",NA,NA
2015-07-03 20:40:00,2015-07-04 02:10:00,"pm25","Anand Vihar","Anand+Vihar",19,"µg/m³","Delhi","IN",NA,NA
2015-07-03 21:10:00,2015-07-04 02:40:00,"pm25","Anand Vihar","Anand+Vihar",19,"µg/m³","Delhi","IN",NA,NA
2015-07-03 21:40:00,2015-07-04 03:10:00,"pm25","Anand Vihar","Anand+Vihar",23,"µg/m³","Delhi","IN",NA,NA
2015-07-03 22:10:00,2015-07-04 03:40:00,"pm25","Anand Vihar","Anand+Vihar",23,"µg/m³","Delhi","IN",NA,NA
2015-07-03 22:40:00,2015-07-04 04:10:00,"pm25","Anand Vihar","Anand+Vihar",35,"µg/m³","Delhi","IN",NA,NA
2015-07-03 23:10:00,2015-07-04 04:40:00,"pm25","Anand Vihar","Anand+Vihar",35,"µg/m³","Delhi","IN",NA,NA
2015-07-03 23:40:00,2015-07-04 05:10:00,"pm25","Anand Vihar","Anand+Vihar",33,"µg/m³","Delhi","IN",NA,NA
2015-07-04 00:40:00,2015-07-04 06:10:00,"pm25","Anand Vihar","Anand+Vihar",48,"µg/m³","Delhi","IN",NA,NA
2015-07-04 01:40:00,2015-07-04 07:10:00,"pm25","Anand Vihar","Anand+Vihar",55,"µg/m³","Delhi","IN",NA,NA
2015-07-04 02:40:00,2015-07-04 08:10:00,"pm25","Anand Vihar","Anand+Vihar",72,"µg/m³","Delhi","IN",NA,NA
2015-07-04 03:10:00,2015-07-04 08:40:00,"pm25","Anand Vihar","Anand+Vihar",72,"µg/m³","Delhi","IN",NA,NA
2015-07-04 03:30:00,2015-07-04 09:00:00,"pm25","Anand Vihar","Anand+Vihar",112,"µg/m³","Delhi","IN",NA,NA
2015-07-04 04:30:00,2015-07-04 10:00:00,"pm25","Anand Vihar","Anand+Vihar",167,"µg/m³","Delhi","IN",NA,NA
2015-07-04 05:10:00,2015-07-04 10:40:00,"pm25","Anand Vihar","Anand+Vihar",167,"µg/m³","Delhi","IN",NA,NA
2015-07-04 05:40:00,2015-07-04 11:10:00,"pm25","Anand Vihar","Anand+Vihar",205,"µg/m³","Delhi","IN",NA,NA
2015-07-04 06:10:00,2015-07-04 11:40:00,"pm25","Anand Vihar","Anand+Vihar",205,"µg/m³","Delhi","IN",NA,NA
2015-07-04 06:30:00,2015-07-04 12:00:00,"pm25","Anand Vihar","Anand+Vihar",150,"µg/m³","Delhi","IN",NA,NA
2015-07-04 07:10:00,2015-07-04 12:40:00,"pm25","Anand Vihar","Anand+Vihar",150,"µg/m³","Delhi","IN",NA,NA
2015-07-04 07:30:00,2015-07-04 13:00:00,"pm25","Anand Vihar","Anand+Vihar",126,"µg/m³","Delhi","IN",NA,NA
2015-07-06 05:30:00,2015-07-06 11:00:00,"pm25","Anand Vihar","Anand+Vihar",20,"µg/m³","Delhi","IN",NA,NA
2015-07-06 06:10:00,2015-07-06 11:40:00,"pm25","Anand Vihar","Anand+Vihar",20,"µg/m³","Delhi","IN",NA,NA
2015-07-06 06:30:00,2015-07-06 12:00:00,"pm25","Anand Vihar","Anand+Vihar",11,"µg/m³","Delhi","IN",NA,NA
2015-07-06 07:10:00,2015-07-06 12:40:00,"pm25","Anand Vihar","Anand+Vihar",11,"µg/m³","Delhi","IN",NA,NA
2015-07-06 07:30:00,2015-07-06 13:00:00,"pm25","Anand Vihar","Anand+Vihar",10,"µg/m³","Delhi","IN",NA,NA
2015-07-06 08:10:00,2015-07-06 13:40:00,"pm25","Anand Vihar","Anand+Vihar",10,"µg/m³","Delhi","IN",NA,NA
2015-07-06 08:30:00,2015-07-06 14:00:00,"pm25","Anand Vihar","Anand+Vihar",7,"µg/m³","Delhi","IN",NA,NA
2015-07-06 09:10:00,2015-07-06 14:40:00,"pm25","Anand Vihar","Anand+Vihar",7,"µg/m³","Delhi","IN",NA,NA
2015-07-06 09:30:00,2015-07-06 15:00:00,"pm25","Anand Vihar","Anand+Vihar",29,"µg/m³","Delhi","IN",NA,NA
2015-07-06 10:10:00,2015-07-06 15:40:00,"pm25","Anand Vihar","Anand+Vihar",29,"µg/m³","Delhi","IN",NA,NA
2015-07-06 11:30:00,2015-07-06 17:00:00,"pm25","Anand Vihar","Anand+Vihar",6,"µg/m³","Delhi","IN",NA,NA
2015-07-06 12:10:00,2015-07-06 17:40:00,"pm25","Anand Vihar","Anand+Vihar",6,"µg/m³","Delhi","IN",NA,NA
2015-07-06 12:30:00,2015-07-06 18:00:00,"pm25","Anand Vihar","Anand+Vihar",38,"µg/m³","Delhi","IN",NA,NA
2015-07-06 13:10:00,2015-07-06 18:40:00,"pm25","Anand Vihar","Anand+Vihar",38,"µg/m³","Delhi","IN",NA,NA
2015-07-06 13:30:00,2015-07-06 19:00:00,"pm25","Anand Vihar","Anand+Vihar",35,"µg/m³","Delhi","IN",NA,NA
2015-07-06 14:10:00,2015-07-06 19:40:00,"pm25","Anand Vihar","Anand+Vihar",35,"µg/m³","Delhi","IN",NA,NA
2015-07-06 15:10:00,2015-07-06 20:40:00,"pm25","Anand Vihar","Anand+Vihar",38,"µg/m³","Delhi","IN",NA,NA
2015-07-06 15:30:00,2015-07-06 21:00:00,"pm25","Anand Vihar","Anand+Vihar",22,"µg/m³","Delhi","IN",NA,NA
2015-07-06 16:10:00,2015-07-06 21:40:00,"pm25","Anand Vihar","Anand+Vihar",22,"µg/m³","Delhi","IN",NA,NA
2015-07-06 16:30:00,2015-07-06 22:00:00,"pm25","Anand Vihar","Anand+Vihar",33,"µg/m³","Delhi","IN",NA,NA
2015-07-06 17:10:00,2015-07-06 22:40:00,"pm25","Anand Vihar","Anand+Vihar",33,"µg/m³","Delhi","IN",NA,NA
2015-07-06 17:30:00,2015-07-06 23:00:00,"pm25","Anand Vihar","Anand+Vihar",26,"µg/m³","Delhi","IN",NA,NA
